220929, 과실류, 바나나, 바나나, 0, 0, 100.0
220929, 과실류, 바나나, 바나나, 0, 0, 100.0
220929, 수실류, 대추, 대추, 1, 0, 900.0
220929, 과실류, 포도, 캠벨얼리, 1, 0, 300.0
220929, 조미채소류, 대파, 대파, 1, 0, 19.11111
220929, 엽경채류, 쑥갓, 쑥갓, 1, 0, 125.0
220929, 과실류, 바나나, 바나나, 0, 0, 100.0
220929, 수실류, 대추, 기타대추, 1, 0, 200.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 750.0
220929, 과실류, 바나나, 바나나, 0, 0, 100.0
220929, 엽경채류, 깻잎, 깻잎순, 1, 0, 485.7143
220929, 과실류, 감귤, 하우스감귤, 1, 0, 466.66666
220929, 과실류, 바나나, 바나나, 0, 0, 76.92308
220929, 수실류, 대추, 대추, 1, 0, 300.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 1050.0
220929, 과실류, 바나나, 바나나, 0, 0, 100.0
220929, 조미채소류, 풋고추, 모닝, 1, 0, 400.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 1000.0
220929, 과실류, 바나나, 바나나, 0, 0, 100.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 300.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 1000.0
220929, 과실류, 단감, 송본, 1, 0, 200.0
220929, 엽경채류, 부추, 일반부추, 1, 0, 305.0
220929, 과실류, 복숭아, 황도, 1, 0, 362.5
220929, 조미채소류, 풋고추, 모닝, 1, 0, 33.333332
220929, 과실류, 포도, 마스캇베리에이, 1, 0, 366.66666
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 300.0
220929, 과실류, 단감, 송본, 1, 0, 330.0
220929, 서류, 고구마, 기타, 1, 0, 266.0
220929, 수실류, 대추, 대추, 1, 0, 800.0
220929, 과실류, 자두, 추희, 1, 0, 270.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 300.0
220929, 엽경채류, 숙주나물, 숙주나물, 1, 0, 12.857142
220929, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 75.0
220929, 과실류, 단감, 송본, 1, 0, 165.0
220929, 엽경채류, 상추, 기타상추, 1, 0, 75.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 300.0
220929, 조미채소류, 풋고추, 청양, 1, 0, 460.0
220929, 양채류, 로메인, 로메인, 1, 0, 305.0
220929, 과실류, 단감, 송본, 1, 0, 300.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 220.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 1000.0
220929, 과채류, 호박, 애호박, 1, 0, 270.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 1000.0
220929, 양채류, 비트(붉은사탕무우), 비트, 1, 0, 155.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 333.33334
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 300.0
220929, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 46.666668
220929, 조미채소류, 양파, 기타양파, 1, 0, 15.333333
220929, 과실류, 단감, 송본, 1, 0, 200.0
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 1610.0
220929, 조미채소류, 양파, 기타양파, 1, 0, 15.333333
220929, 조미채소류, 양파, 기타양파, 1, 0, 150.0
220929, 양채류, 양상추, 양상추, 1, 0, 100.0
220929, 양채류, 양상추, 양상추, 1, 0, 375.0
220929, 조미채소류, 양파, 기타양파, 1, 0, 150.0
220929, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 260.0
