220928, 버섯류, 느타리버섯, 애느타리, 1, 0, 350.0
220928, 버섯류, 느타리버섯, 애느타리, 1, 0, 350.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 590.0
220928, 과일과채류, 참외, 참외, 1, 0, 310.0
220928, 양채류, 빈스, 빈스, 1, 0, 315.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 366.66666
220928, 과채류, 오이, 백다다기, 1, 0, 300.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 88.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 560.0
220928, 과채류, 호박, 애호박, 1, 0, 110.0
220928, 과일과채류, 참외, 참외, 1, 0, 330.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 223.6842
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 633.3333
220928, 엽경채류, 부추, 일반부추, 1, 0, 240.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 450.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 160.0
220928, 양채류, 양상추, 양상추, 1, 0, 130.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 230.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 340.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 280.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 400.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 326.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 160.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 129.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 170.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 520.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 100.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 533.3333
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 600.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 260.0
220928, 과일과채류, 참외, 참외, 1, 0, 340.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 180.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 260.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 380.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
