220928, 양채류, 브로코리(녹색꽃양배추), 뉴그린, 1, 0, 369.25
220928, 양채류, 셀러리(양미나리), 셀러리, 1, 0, 284.85
220928, 양채류, 양상추, 기타양상추, 1, 0, 158.25
220928, 수실류, 대추, 기타대추, 1, 0, 650.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 450.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 420.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 200.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 230.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 260.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 260.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 100.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 30.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 30.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 500.0
220928, 엽경채류, 열무, 열무, 1, 0, 85.0
220928, 과실류, 단감, 송본, 1, 0, 200.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 360.0
220928, 양채류, 파프리카, 노랑파프리카, 1, 0, 576.0
220928, 과실류, 단감, 송본, 1, 0, 330.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 양채류, 양상추, 샤니레타스, 1, 0, 213.84616
220928, 과채류, 오이, 가시오이, 1, 0, 241.0
220928, 특용작물류, 땅콩, 땅콩, 1, 0, 625.0
220928, 조미채소류, 쪽파, 깐쪽파, 1, 0, 802.0
220928, 양채류, 치커리, 치커리, 1, 0, 230.0
220928, 과일과채류, 메론, 메론, 0, 0, 360.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 205.0
220928, 양채류, 치커리, 치커리, 1, 0, 225.0
220928, 산채류, 참나물, 참나물, 1, 0, 400.0
220928, 산채류, 참나물, 참나물, 1, 0, 395.0
220928, 산채류, 참나물, 참나물, 1, 0, 390.0
220928, 조미채소류, 쪽파, 깐쪽파, 1, 0, 830.0
220928, 산채류, 참나물, 참나물, 1, 0, 380.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 200.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 230.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 260.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 260.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 100.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 30.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 30.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 수실류, 대추, 기타대추, 1, 0, 600.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 과채류, 오이, 백다다기, 1, 0, 320.0
220928, 근채류, 무, 고냉지무, 1, 0, 162.5
220928, 양채류, 케일, 쌈케일, 1, 0, 250.0
220928, 과실류, 단감, 송본, 1, 0, 285.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 433.33334
220928, 과실류, 자두, 추희, 1, 0, 700.0
220928, 엽경채류, 상추, 적상추, 1, 0, 275.0
220928, 근채류, 무, 고냉지무, 1, 0, 162.5
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 760.86957
220928, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 480.0
220928, 엽경채류, 시금치, 시금치, 1, 0, 370.0
220928, 엽경채류, 시금치, 시금치, 1, 0, 360.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 270.0
220928, 엽경채류, 시금치, 시금치, 1, 0, 380.0
220928, 양채류, 양상추, 기타양상추, 1, 0, 303.325
220928, 양채류, 양상추, 기타양상추, 1, 0, 303.325
220928, 양채류, 양상추, 기타양상추, 1, 0, 303.325
220928, 양채류, 양상추, 기타양상추, 1, 0, 303.325
220928, 양채류, 양상추, 기타양상추, 1, 0, 303.325
220928, 과일과채류, 토마토, 토마토, 1, 0, 580.0
220928, 수실류, 대추, 기타대추, 1, 0, 600.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 양채류, 비트(붉은사탕무우), 비트, 1, 0, 83.0
220928, 양채류, 파프리카, 노랑파프리카, 1, 0, 584.0
220928, 과실류, 단감, 송본, 1, 0, 370.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 266.66666
220928, 두류, 팥, 팥, 1, 0, 400.0
220928, 과채류, 가지, 가지, 1, 0, 160.0
220928, 과실류, 단감, 송본, 1, 0, 340.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1685.7142
220928, 엽경채류, 부추, 일반부추, 1, 0, 180.0
220928, 수실류, 대추, 대추, 1, 0, 500.0
220928, 양채류, 양상추, 기타양상추, 1, 0, 303.325
220928, 엽경채류, 시금치, 시금치, 1, 0, 380.0
220928, 엽경채류, 시금치, 시금치, 1, 0, 550.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 65.0
220928, 과실류, 오렌지, 네블, 1, 0, 333.33334
220928, 과실류, 오렌지, 네블, 1, 0, 305.55554
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 77.5
220928, 엽경채류, 근대, 적근대, 1, 0, 165.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 440.0
220928, 조미채소류, 풋고추, 녹광, 1, 0, 130.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220928, 수실류, 대추, 기타대추, 1, 0, 750.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 575.0
220928, 과채류, 오이, 가시오이, 1, 0, 258.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 625.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 625.0
220928, 양채류, 파프리카, 노랑파프리카, 1, 0, 604.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 200.0
220928, 과채류, 호박, 풋호박, 1, 0, 190.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 145.61403
220928, 과실류, 자두, 추희, 1, 0, 150.0
220928, 과실류, 단감, 송본, 1, 0, 365.0
220928, 과채류, 가지, 가지, 1, 0, 160.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 410.0
220928, 엽경채류, 근대, 적근대, 1, 0, 185.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 389.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 389.0
220928, 엽경채류, 근대, 근대, 1, 0, 212.5
220928, 엽경채류, 근대, 근대, 1, 0, 237.5
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 57.5
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 75.0
220928, 두류, 강낭콩, 강낭콩, 1, 0, 450.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 75.0
220928, 양채류, 로메인, 로메인, 1, 0, 225.0
220928, 과실류, 단감, 송본, 1, 0, 400.0
220928, 과실류, 단감, 기타단감, 1, 0, 440.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 575.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 533.3333
220928, 근채류, 토란, 토란, 1, 0, 350.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 212.5
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 533.3333
220928, 엽경채류, 상추, 포기찹, 1, 0, 550.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 양채류, 비트(붉은사탕무우), 비트, 1, 0, 130.0
220928, 과실류, 단감, 기타단감, 1, 0, 180.0
220928, 과채류, 오이, 백다다기, 1, 0, 280.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 466.66666
220928, 수실류, 대추, 대추, 1, 0, 650.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 650.0
220928, 엽경채류, 상추, 청상추, 1, 0, 250.0
220928, 엽경채류, 상추, 적상추, 1, 0, 410.0
220928, 과실류, 단감, 송본, 1, 0, 400.0
220928, 과실류, 단감, 기타단감, 1, 0, 220.0
220928, 두류, 강낭콩, 강낭콩, 1, 0, 350.0
220928, 과실류, 파인애플, 골드, 1, 0, 278.26086
220928, 과실류, 아보카도, 아보카도, 0, 0, 250.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 227.5
220928, 양채류, 양상추, 기타양상추, 1, 0, 156.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 330.0
220928, 양채류, 양상추, 기타양상추, 1, 0, 139.0
220928, 양채류, 양상추, 기타양상추, 1, 0, 130.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 305.0
220928, 양채류, 셀러리(양미나리), 셀러리, 1, 0, 144.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 수실류, 대추, 기타대추, 1, 0, 800.0
220928, 서류, 고구마, 기타, 1, 0, 125.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 500.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 487.93103
220928, 과채류, 오이, 가시오이, 1, 0, 183.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 725.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 600.0
220928, 엽경채류, 상추, 꽃적상추, 1, 0, 305.0
220928, 수실류, 대추, 기타대추, 1, 0, 800.0
220928, 과채류, 호박, 풋호박, 1, 0, 160.0
220928, 과채류, 오이, 가시오이, 1, 0, 162.0
220928, 과실류, 자두, 추희, 1, 0, 140.0
220928, 과채류, 오이, 백다다기, 1, 0, 350.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 328.94736
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 500.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 25.0
220928, 서류, 감자, 수미, 1, 0, 81.0
220928, 양채류, 비트(붉은사탕무우), 비트, 1, 0, 160.0
220928, 수실류, 대추, 대추, 1, 0, 400.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 280.0
220928, 양채류, 양상추, 기타양상추, 1, 0, 125.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 348.0
220928, 양채류, 양상추, 기타양상추, 1, 0, 110.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 87.5
220928, 양채류, 양상추, 기타양상추, 1, 0, 131.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 360.0
220928, 양채류, 양상추, 기타양상추, 1, 0, 135.0
220928, 과실류, 참다래(키위), 기타참다래, 1, 0, 303.57144
220928, 과실류, 참다래(키위), 키위, 0, 0, 170.0
220928, 양채류, 로메인, 로메인, 1, 0, 250.0
220928, 과실류, 단감, 송본, 1, 0, 465.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 466.66666
220928, 과실류, 포도, 캠벨얼리, 1, 0, 866.6667
220928, 과채류, 호박, 풋호박, 1, 0, 78.0
220928, 과채류, 호박, 풋호박, 1, 0, 140.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 520.0
220928, 과실류, 단감, 기타단감, 1, 0, 322.22223
220928, 과실류, 포도, 샤인마스캇, 1, 0, 700.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 350.0
220928, 과채류, 호박, 애호박, 1, 0, 150.0
220928, 과실류, 포도, 거봉, 1, 0, 550.0
220928, 과실류, 자두, 추희, 1, 0, 270.0
220928, 조미채소류, 풋고추, 청홍, 1, 0, 510.0
220928, 과실류, 단감, 송본, 1, 0, 210.0
220928, 수실류, 대추, 대추, 1, 0, 600.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 433.33334
220928, 서류, 감자, 수미, 1, 0, 91.5
220928, 과채류, 가지, 가지, 1, 0, 100.0
220928, 과실류, 단감, 송본, 1, 0, 230.0
220928, 과실류, 참다래(키위), 키위, 0, 0, 170.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 87.5
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 380.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 65.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 360.0
220928, 양채류, 셀러리(양미나리), 셀러리, 1, 0, 180.0
220928, 근채류, 당근, 당근, 0, 0, 85.0
220928, 근채류, 당근, 당근, 0, 0, 85.0
220928, 근채류, 당근, 당근, 0, 0, 85.0
220928, 근채류, 당근, 당근, 0, 0, 85.0
220928, 과실류, 단감, 송본, 1, 0, 150.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 350.0
220928, 엽경채류, 상추, 기타상추, 1, 0, 215.0
220928, 엽경채류, 상추, 포기찹, 1, 0, 690.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 833.3333
220928, 엽경채류, 상추, 꽃적상추, 1, 0, 325.0
220928, 과실류, 자두, 추희, 1, 0, 520.0
220928, 서류, 고구마, 기타, 1, 0, 88.0
220928, 과실류, 단감, 송본, 1, 0, 455.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 700.0
220928, 양채류, 비트(붉은사탕무우), 비트, 1, 0, 170.0
220928, 과실류, 단감, 송본, 1, 0, 230.0
220928, 과채류, 호박, 애호박, 1, 0, 225.0
220928, 근채류, 무, 고냉지무, 1, 0, 163.0
220928, 과채류, 오이, 가시오이, 1, 0, 185.0
220928, 과실류, 포도, 거봉, 1, 0, 550.0
220928, 수실류, 대추, 대추, 1, 0, 800.0
220928, 두류, 동부, 동부, 1, 0, 400.0
220928, 과실류, 자두, 추희, 1, 0, 200.0
220928, 조미채소류, 풋고추, 기타풋고추, 1, 0, 143.0
220928, 근채류, 당근, 당근, 0, 0, 85.0
220928, 근채류, 당근, 당근, 0, 0, 85.0
220928, 근채류, 당근, 당근, 0, 0, 85.0
220928, 근채류, 당근, 당근, 0, 0, 85.0
220928, 근채류, 당근, 당근, 0, 0, 85.0
220928, 근채류, 당근, 당근, 0, 0, 85.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 65.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 362.5
220928, 양채류, 치커리, 치커리, 1, 0, 235.0
220928, 양채류, 양상추, 기타양상추, 1, 0, 100.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 450.0
220928, 과실류, 단감, 송본, 1, 0, 190.0
220928, 서류, 고구마, 밤고구마, 1, 0, 25.0
220928, 과채류, 오이, 가시오이, 1, 0, 156.0
220928, 과실류, 단감, 기타단감, 1, 0, 377.77777
220928, 엽경채류, 배추, 고냉지배추, 1, 0, 80.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 310.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 260.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 260.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 280.0
220928, 조미채소류, 풋고추, 기타풋고추, 1, 0, 143.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 300.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 210.0
220928, 서류, 감자, 수미, 1, 0, 135.0
220928, 과실류, 단감, 송본, 1, 0, 330.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 266.66666
220928, 수실류, 대추, 대추, 1, 0, 800.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 333.33334
220928, 서류, 고구마, 밤고구마, 1, 0, 95.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1392.8572
220928, 양채류, 케일, 쌈케일, 1, 0, 315.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 70.0
220928, 엽경채류, 청경채, 청경채, 1, 0, 120.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 75.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 75.0
220928, 버섯류, 표고버섯, 표고버섯, 0, 0, 712.5
220928, 버섯류, 표고버섯, 표고버섯, 0, 0, 712.5
220928, 버섯류, 표고버섯, 표고버섯, 0, 0, 725.0
220928, 버섯류, 표고버섯, 표고버섯, 0, 0, 750.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 512.5
220928, 과일과채류, 토마토, 토마토, 1, 0, 500.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 320.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 320.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 330.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 350.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 310.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 280.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 260.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 260.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 280.0
220928, 과채류, 가지, 가지, 1, 0, 180.0
220928, 과채류, 오이, 가시오이, 1, 0, 240.0
220928, 과채류, 가지, 가지, 1, 0, 180.0
220928, 과채류, 가지, 가지, 1, 0, 180.0
220928, 과실류, 자두, 추희, 1, 0, 220.0
220928, 엽경채류, 고구마순, 생고구마순, 1, 0, 142.85715
220928, 양채류, 비트(붉은사탕무우), 비트, 1, 0, 143.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 280.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 366.66666
220928, 수실류, 대추, 대추, 1, 0, 650.0
220928, 버섯류, 표고버섯, 표고버섯, 0, 0, 750.0
220928, 버섯류, 표고버섯, 표고버섯, 0, 0, 750.0
220928, 버섯류, 표고버섯, 표고버섯, 0, 0, 750.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 82.5
220928, 과실류, 바나나, 바나나, 0, 0, 192.3077
220928, 엽경채류, 청경채, 청경채, 1, 0, 112.5
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 412.5
