220928, 수실류, 떫은감, 반시, 1, 0, 190.0
220928, 과실류, 참다래(키위), 키위, 0, 0, 2500.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 수실류, 떫은감, 약시, 1, 0, 380.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 633.3333
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 조미채소류, 대파, 깐대파, 1, 0, 122.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 300.0
220928, 근채류, 무, 기타무, 1, 0, 142.5
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 650.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 540.0
220928, 엽경채류, 아욱, 아욱, 1, 0, 320.0
220928, 과실류, 자두, 추희, 1, 0, 200.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 775.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 400.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 383.33334
220928, 양채류, 파프리카, 노랑파프리카, 1, 0, 793.10345
220928, 과실류, 감귤, 하우스감귤, 1, 0, 600.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 200.0
220928, 서류, 고구마, 호박고구마, 1, 0, 41.0
220928, 서류, 감자, 수미, 1, 0, 113.5
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 955.0
220928, 과실류, 떫은감, 약시, 1, 0, 190.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 540.0
220928, 과실류, 복숭아, 만생황도, 1, 0, 212.5
220928, 과채류, 호박, 애호박, 1, 0, 195.0
220928, 양채류, 비트(붉은사탕무우), 비트, 1, 0, 40.0
220928, 과실류, 무화과, 무화과, 1, 0, 400.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 110.0
220928, 서류, 고구마, 밤고구마, 1, 0, 200.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 343.33334
220928, 엽경채류, 열무, 열무, 1, 0, 122.0
220928, 수실류, 대추, 대추, 1, 0, 800.0
220928, 과실류, 복숭아, 환타지아, 1, 0, 160.0
220928, 과실류, 단감, 송본, 1, 0, 142.0
220928, 엽경채류, 배추, 쌈배추, 1, 0, 220.0
220928, 수실류, 대추, 기타대추, 1, 0, 650.0
220928, 과실류, 포도, 거봉, 1, 0, 525.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 625.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 120.0
220928, 과실류, 파인애플, 파인애플, 0, 0, 258.33334
220928, 과실류, 단감, 기타단감, 1, 0, 210.0
220928, 과실류, 자두, 추희, 1, 0, 260.0
220928, 과실류, 단감, 송본, 1, 0, 260.0
220928, 과실류, 떫은감, 약시, 1, 0, 120.0
220928, 과실류, 단감, 송본, 1, 0, 370.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 650.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 417.5
220928, 과실류, 사과, 아리수, 1, 0, 380.0
220928, 과실류, 복숭아, 황도, 1, 0, 205.0
220928, 과실류, 단감, 송본, 1, 0, 387.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 433.33334
220928, 과실류, 사과, 기타사과, 1, 0, 220.0
220928, 과실류, 떫은감, 약시, 1, 0, 260.0
220928, 엽경채류, 상추, 기타상추, 1, 0, 350.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 912.5
220928, 과실류, 자두, 추희, 1, 0, 180.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 160.0
220928, 과일과채류, 수박, 꿀수박, 1, 0, 112.5
220928, 과실류, 단감, 송본, 1, 0, 451.0
220928, 과채류, 오이, 백다다기, 1, 0, 316.66666
220928, 과실류, 복숭아, 만생황도, 1, 0, 400.0
220928, 엽경채류, 청경채, 청경채, 1, 0, 62.5
220928, 과일과채류, 토마토, 기타토마토, 1, 0, 400.0
220928, 엽경채류, 상추, 포기찹, 1, 0, 455.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 266.66666
220928, 과일과채류, 메론, 네트계, 1, 0, 400.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 225.0
220928, 과실류, 단감, 송본, 1, 0, 142.0
220928, 수실류, 밤, 기타밤, 1, 0, 260.0
220928, 과채류, 가지, 가지, 1, 0, 260.0
220928, 서류, 감자, 기타감자, 1, 0, 90.0
220928, 수실류, 대추, 대추, 1, 0, 750.0
220928, 과실류, 자두, 추희, 1, 0, 520.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 340.0
220928, 조미채소류, 대파, 대파, 1, 0, 155.25
220928, 과실류, 포도, 샤인마스캇, 1, 0, 700.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 300.0
220928, 과실류, 단감, 상서, 1, 0, 220.0
220928, 수실류, 대추, 대추, 1, 0, 55.0
220928, 서류, 고구마, 호박고구마, 1, 0, 70.0
220928, 서류, 고구마, 기타, 1, 0, 103.0
220928, 과실류, 자두, 추희, 1, 0, 120.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 60.0
220928, 과실류, 사과, 홍로, 1, 0, 308.0
220928, 조미채소류, 양파, 저장양파, 1, 0, 119.0
220928, 조미채소류, 양파, 만생양파, 1, 0, 140.0
220928, 엽경채류, 근대, 근대, 1, 0, 167.5
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 80.0
220928, 서류, 고구마, 밤고구마, 1, 0, 180.0
220928, 서류, 감자, 수미, 1, 0, 200.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 63.0
220928, 조미채소류, 건고추, 기타건고추, 1, 0, 1433.3334
220928, 과실류, 사과, 요까, 1, 0, 215.0
220928, 서류, 고구마, 밤고구마, 1, 0, 180.0
220928, 과실류, 단감, 송본, 1, 0, 182.0
220928, 과실류, 포도, 거봉, 1, 0, 360.0
220928, 서류, 고구마, 호박고구마, 1, 0, 140.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 433.33334
220928, 서류, 고구마, 밤고구마, 1, 0, 90.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 520.0
220928, 엽경채류, 열무, 열무, 1, 0, 165.0
220928, 서류, 고구마, 기타, 1, 0, 121.0
220928, 과일과채류, 수박, 수박, 1, 0, 211.11111
220928, 과실류, 떫은감, 약시, 1, 0, 240.0
220928, 과실류, 떫은감, 반시, 1, 0, 250.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 250.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 250.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 280.0
220928, 과실류, 떫은감, 반시, 1, 0, 160.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 90.5
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 280.0
220928, 과실류, 떫은감, 약시, 1, 0, 420.0
220928, 엽경채류, 얼갈이배추, 알배기, 1, 0, 287.5
220928, 과실류, 포도, 캠벨얼리, 1, 0, 216.66667
