220928, 조미채소류, 풋고추, 청양, 1, 0, 277.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 220.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 466.66666
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 400.0
220928, 과실류, 단감, 송본, 1, 0, 330.0
220928, 엽경채류, 상추, 꽃적상추, 1, 0, 300.0
220928, 엽경채류, 상추, 꽃적상추, 1, 0, 300.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 356.25
220928, 과실류, 자두, 추희, 1, 0, 220.0
220928, 과실류, 단감, 상서, 1, 0, 210.0
220928, 수실류, 대추, 기타대추, 1, 0, 850.0
220928, 엽경채류, 고추잎, 기타고추잎, 1, 0, 337.5
220928, 과실류, 용과, 용과, 0, 0, 800.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 400.0
220928, 과실류, 용과, 용과, 0, 0, 360.0
220928, 과실류, 파인애플, 골드, 1, 0, 286.9565
220928, 수실류, 대추, 대추, 1, 0, 700.0
220928, 과실류, 파인애플, 골드, 1, 0, 295.65216
220928, 엽경채류, 청경채, 청경채, 1, 0, 175.0
220928, 과채류, 호박, 단호박, 1, 0, 180.0
220928, 과실류, 파인애플, 골드, 1, 0, 200.0
220928, 과실류, 파인애플, 골드, 1, 0, 278.26086
220928, 근채류, 우엉, 우엉, 1, 0, 118.3
220928, 과실류, 파인애플, 골드, 1, 0, 278.26086
220928, 수실류, 대추, 대추, 1, 0, 850.0
220928, 과실류, 파인애플, 골드, 1, 0, 220.0
220928, 조미채소류, 대파, 대파, 1, 0, 157.0
220928, 두류, 강낭콩, 기타강낭콩, 1, 0, 530.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 366.0
220928, 과채류, 오이, 백다다기, 1, 0, 450.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 525.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 392.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 550.0
220928, 과일과채류, 토마토, 찰토마토, 1, 0, 200.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 300.0
220928, 조미채소류, 대파, 대파, 1, 0, 215.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 100.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 666.6667
220928, 양채류, 파프리카, 파프리카, 1, 0, 520.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 266.66666
220928, 양채류, 피망(단고추), 홍피망, 1, 0, 300.0
220928, 두류, 강낭콩, 강낭콩, 1, 0, 550.0
220928, 과실류, 단감, 송본, 1, 0, 280.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 416.66666
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 37000.0
220928, 수실류, 대추, 기타대추, 1, 0, 600.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 625.0
220928, 수실류, 대추, 기타대추, 1, 0, 800.0
220928, 과실류, 단감, 송본, 1, 0, 135.0
220928, 과실류, 자두, 추희, 1, 0, 200.0
220928, 엽경채류, 상추, 적상추, 1, 0, 390.0
220928, 과채류, 오이, 가시오이, 1, 0, 238.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 140.0
220928, 엽경채류, 열무, 열무, 1, 0, 92.5
220928, 과일과채류, 토마토, 토마토, 1, 0, 360.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 특용작물류, 땅콩, 땅콩, 1, 0, 627.5
220928, 엽경채류, 부추, 일반부추, 1, 0, 200.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 633.3333
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 266.66666
220928, 과채류, 호박, 쥬키니호박, 1, 0, 157.0
220928, 과일과채류, 참외, 참외, 1, 0, 260.0
220928, 과채류, 호박, 애호박, 1, 0, 360.0
220928, 과채류, 오이, 백다다기, 1, 0, 230.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 560.0
220928, 과일과채류, 참외, 참외, 1, 0, 310.0
220928, 양채류, 빈스, 빈스, 1, 0, 315.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 650.0
220928, 과채류, 호박, 단호박, 1, 0, 121.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 500.0
220928, 엽경채류, 미나리, 미나리, 1, 0, 425.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 300.0
220928, 과실류, 자두, 추희, 1, 0, 220.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 200.0
220928, 엽경채류, 미나리, 미나리, 1, 0, 425.0
220928, 엽경채류, 미나리, 미나리, 1, 0, 425.0
220928, 엽경채류, 미나리, 미나리, 1, 0, 425.0
220928, 과실류, 단감, 상서, 1, 0, 250.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 105.454544
220928, 수실류, 대추, 대추, 1, 0, 850.0
220928, 조미채소류, 대파, 대파, 1, 0, 157.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 근채류, 무, 기타무, 1, 0, 107.85714
220928, 엽경채류, 상추, 포기찹, 1, 0, 365.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 625.0
220928, 수실류, 대추, 기타대추, 1, 0, 600.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 340.0
220928, 과채류, 오이, 가시오이, 1, 0, 216.0
220928, 양채류, 파프리카, 파프리카, 1, 0, 662.5
220928, 두류, 강낭콩, 기타강낭콩, 1, 0, 200.0
220928, 과실류, 복숭아, 만생황도, 1, 0, 75.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 256.0
220928, 양채류, 파프리카, 파프리카, 1, 0, 662.5
220928, 과일과채류, 토마토, 토마토, 1, 0, 360.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 430.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 318.75
220928, 과실류, 포도, 샤인마스캇, 1, 0, 410.0
220928, 과채류, 오이, 취청, 1, 0, 266.0
220928, 조미채소류, 홍고추, 홍청양, 1, 0, 450.0
220928, 두류, 강낭콩, 기타강낭콩, 1, 0, 565.0
220928, 과채류, 가지, 가지, 1, 0, 277.0
220928, 두류, 강낭콩, 기타강낭콩, 1, 0, 570.0
220928, 과실류, 단감, 송본, 1, 0, 120.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 472.5
220928, 엽경채류, 상추, 적상추, 1, 0, 225.0
220928, 과채류, 오이, 취청, 1, 0, 486.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 560.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 625.0
220928, 수실류, 대추, 기타대추, 1, 0, 800.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1550.0
220928, 과실류, 떫은감, 대봉시, 1, 0, 125.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 600.0
220928, 조미채소류, 홍고추, 홍고추, 1, 0, 433.0
220928, 서류, 고구마, 호박고구마, 1, 0, 250.0
220928, 엽경채류, 상추, 적상추, 1, 0, 275.0
220928, 서류, 고구마, 밤고구마, 1, 0, 136.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 333.33334
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 550.0
220928, 서류, 야콘, 야콘, 1, 0, 280.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 210.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 1510.0
220928, 과실류, 단감, 송본, 1, 0, 140.0
220928, 수실류, 대추, 기타대추, 1, 0, 850.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 710.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 433.33334
220928, 과일과채류, 토마토, 토마토, 1, 0, 600.0
220928, 서류, 고구마, 밤고구마, 1, 0, 112.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 366.66666
220928, 과채류, 오이, 백다다기, 1, 0, 300.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 88.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 560.0
220928, 과채류, 호박, 애호박, 1, 0, 110.0
220928, 과일과채류, 참외, 참외, 1, 0, 330.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 25500.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 633.3333
220928, 과채류, 호박, 쥬키니호박, 1, 0, 129.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 170.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 300.0
220928, 엽경채류, 미나리, 미나리, 1, 0, 425.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 423.0
