220928, 조미채소류, 양파, 기타양파, 1, 0, 100.0
220928, 과실류, 사과, 홍로, 1, 0, 285.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 675.0
220928, 과실류, 감귤, 조생귤, 1, 0, 240.0
220928, 과실류, 포도, 거봉, 1, 0, 255.0
220928, 수실류, 떫은감, 반시, 1, 0, 320.0
220928, 버섯류, 표고버섯, 기타표고버섯, 1, 0, 537.5
220928, 엽경채류, 시금치, 시금치, 1, 0, 427.5
220928, 과실류, 단감, 상서, 1, 0, 355.0
220928, 엽경채류, 시금치, 시금치, 1, 0, 427.5
220928, 과실류, 포도, 샤인마스캇, 1, 0, 305.0
220928, 과실류, 참다래(키위), 키위, 0, 0, 2500.0
220928, 과실류, 떫은감, 약시, 1, 0, 260.0
220928, 과실류, 사과, 홍로, 1, 0, 220.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과채류, 가지, 가지, 1, 0, 120.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 566.6667
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 엽경채류, 상추, 적상추, 1, 0, 470.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 750.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 850.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 333.33334
220928, 과채류, 호박, 애호박, 1, 0, 312.5
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 265.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 375.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 445.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 200.0
220928, 과실류, 파인애플, 파인애플, 0, 0, 258.33334
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 360.0
220928, 조미채소류, 대파, 대파, 1, 0, 130.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 425.0
220928, 서류, 고구마, 호박고구마, 1, 0, 177.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 320.0
220928, 과실류, 포도, 거봉, 1, 0, 400.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 600.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 675.0
220928, 과실류, 단감, 기타단감, 1, 0, 250.0
220928, 조미채소류, 대파, 대파, 1, 0, 179.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 550.0
220928, 과일과채류, 수박, 수박, 1, 0, 121.42857
220928, 엽경채류, 상추, 포기찹, 1, 0, 540.0
220928, 과실류, 단감, 송본, 1, 0, 380.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 565.0
220928, 과일과채류, 수박, 수박, 1, 0, 113.333336
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1025.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 725.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 166.66667
220928, 과일과채류, 수박, 수박, 1, 0, 118.75
220928, 과일과채류, 토마토, 토마토, 1, 0, 560.0
220928, 엽경채류, 상추, 적포기, 1, 0, 325.0
220928, 과실류, 자두, 추희, 1, 0, 220.0
220928, 엽경채류, 상추, 포기찹, 1, 0, 500.0
220928, 근채류, 토란, 토란, 1, 0, 136.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 엽경채류, 배추, 쌈배추, 1, 0, 125.454544
220928, 과실류, 포도, 샤인마스캇, 1, 0, 650.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 260.0
220928, 과실류, 자두, 추희, 1, 0, 400.0
220928, 과실류, 단감, 상서, 1, 0, 210.0
220928, 조미채소류, 대파, 대파, 1, 0, 171.0
220928, 과실류, 단감, 송본, 1, 0, 186.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 312.5
220928, 수실류, 대추, 대추, 1, 0, 750.0
220928, 조미채소류, 대파, 대파, 1, 0, 165.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 112.5
220928, 과실류, 복숭아, 환타지아, 1, 0, 460.0
220928, 과실류, 단감, 송본, 1, 0, 267.0
220928, 서류, 고구마, 기타, 1, 0, 160.0
220928, 양채류, 파프리카, 노랑파프리카, 1, 0, 740.0
220928, 조미채소류, 대파, 대파, 1, 0, 160.0
220928, 서류, 감자, 수미, 1, 0, 190.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 500.0
220928, 과실류, 단감, 송본, 1, 0, 334.0
220928, 근채류, 당근, 당근, 1, 0, 72.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 220.0
220928, 근채류, 당근, 당근, 1, 0, 255.0
220928, 서류, 고구마, 밤고구마, 1, 0, 63.0
220928, 서류, 고구마, 기타, 1, 0, 170.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 420.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 60.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 533.3333
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 333.33334
220928, 서류, 고구마, 기타, 1, 0, 165.0
220928, 과실류, 단감, 송본, 1, 0, 180.0
220928, 과실류, 자두, 추희, 1, 0, 200.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 400.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 400.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 566.6667
220928, 과실류, 자두, 추희, 1, 0, 400.0
220928, 서류, 감자, 기타감자, 1, 0, 60.0
220928, 과채류, 오이, 백다다기, 1, 0, 416.66666
220928, 조미채소류, 풋고추, 청양, 1, 0, 249.0
220928, 엽경채류, 열무, 열무, 1, 0, 150.0
220928, 과실류, 무화과, 무화과, 1, 0, 450.0
220928, 과채류, 가지, 가지, 1, 0, 172.0
220928, 과실류, 떫은감, 연시, 1, 0, 260.0
220928, 양채류, 파프리카, 노랑파프리카, 1, 0, 19800.0
220928, 서류, 고구마, 기타, 1, 0, 155.0
220928, 서류, 고구마, 밤고구마, 1, 0, 150.0
220928, 엽경채류, 배추, 쌈배추, 1, 0, 162.5
220928, 서류, 고구마, 밤고구마, 1, 0, 200.0
220928, 과실류, 사과, 홍옥, 1, 0, 130.0
220928, 과실류, 배, 신고, 1, 0, 120.0
220928, 서류, 고구마, 밤고구마, 1, 0, 121.0
220928, 서류, 고구마, 밤고구마, 1, 0, 70.0
220928, 과실류, 사과, 기타사과, 1, 0, 360.0
220928, 과실류, 사과, 홍로, 1, 0, 310.0
220928, 과실류, 단감, 서촌, 1, 0, 485.0
220928, 과실류, 사과, 기타사과, 1, 0, 330.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 416.0
220928, 과실류, 감귤, 비가림감귤, 1, 0, 250.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 610.0
220928, 과실류, 바나나, 바나나, 0, 0, 246.15384
220928, 과실류, 바나나, 바나나, 0, 0, 246.15384
220928, 과실류, 바나나, 바나나, 0, 0, 246.15384
220928, 과채류, 가지, 가지, 1, 0, 150.0
220928, 버섯류, 표고버섯, 기타표고버섯, 1, 0, 662.5
220928, 과실류, 떫은감, 약시, 1, 0, 150.0
220928, 과실류, 단감, 부유, 1, 0, 426.66666
220928, 과실류, 포도, 거봉, 1, 0, 450.0
220928, 수실류, 대추, 생대추, 1, 0, 650.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 400.0
220928, 근채류, 무, 여름무, 1, 0, 137.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 582.5
220928, 서류, 고구마, 붉은고구마, 1, 0, 72.0
220928, 근채류, 당근, 기타당근, 1, 0, 90.0
220928, 양채류, 파프리카, 노랑파프리카, 1, 0, 590.0
220928, 근채류, 당근, 기타당근, 1, 0, 90.0
220928, 과일과채류, 참외, 금싸라기, 1, 0, 220.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 600.0
220928, 과실류, 단감, 송본, 1, 0, 400.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 180.0
220928, 과실류, 단감, 송본, 1, 0, 285.0
220928, 조미채소류, 대파, 대파, 1, 0, 190.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 426.0
220928, 과채류, 호박, 애호박, 1, 0, 312.5
220928, 과실류, 단감, 송본, 1, 0, 360.0
220928, 수실류, 밤, 밤, 1, 0, 560.0
220928, 과일과채류, 메론, 네트계, 1, 0, 225.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 265.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 85.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 110.0
220928, 과실류, 참다래(키위), 키위, 0, 0, 2500.0
220928, 과실류, 감귤, 조생귤, 1, 0, 260.0
220928, 서류, 고구마, 기타, 1, 0, 150.0
220928, 과실류, 단감, 송본, 1, 0, 180.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 942.5
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 서류, 고구마, 기타, 1, 0, 189.0
220928, 근채류, 당근, 기타당근, 1, 0, 90.0
220928, 엽경채류, 상추, 적상추, 1, 0, 350.0
220928, 과실류, 단감, 상서, 1, 0, 100.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 665.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 근채류, 당근, 기타당근, 1, 0, 90.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 220.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 226.25
220928, 과채류, 오이, 백다다기, 1, 0, 240.0
220928, 수실류, 대추, 기타대추, 1, 0, 110.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 근채류, 토란, 토란, 1, 0, 248.0
220928, 근채류, 당근, 기타당근, 1, 0, 90.0
220928, 과실류, 사과, 홍로, 1, 0, 270.0
220928, 수실류, 대추, 대추, 1, 0, 550.0
220928, 조미채소류, 대파, 대파, 1, 0, 160.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 207.5
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 근채류, 당근, 당근, 1, 0, 51.5
220928, 근채류, 당근, 기타당근, 1, 0, 90.0
220928, 과실류, 사과, 홍로, 1, 0, 270.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 110.0
220928, 과실류, 포도, 거봉, 1, 0, 450.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 362.5
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과실류, 자두, 추희, 1, 0, 400.0
220928, 엽경채류, 상추, 적상추, 1, 0, 275.0
220928, 과실류, 사과, 홍로, 1, 0, 250.0
220928, 과실류, 단감, 송본, 1, 0, 250.0
220928, 양채류, 비트(붉은사탕무우), 비트, 1, 0, 82.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 수실류, 대추, 대추, 1, 0, 500.0
220928, 과실류, 사과, 홍로, 1, 0, 130.0
220928, 서류, 고구마, 호박고구마, 1, 0, 125.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 550.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 72.72727
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 조미채소류, 대파, 대파, 1, 0, 181.0
220928, 과실류, 사과, 홍로, 1, 0, 212.0
220928, 과실류, 무화과, 무화과, 1, 0, 450.0
220928, 엽경채류, 상추, 적포기, 1, 0, 375.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 과실류, 사과, 홍로, 1, 0, 172.0
220928, 과채류, 가지, 가지, 1, 0, 172.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 385.0
220928, 과실류, 파인애플, 파인애플, 0, 0, 258.33334
220928, 버섯류, 새송이, 새송이, 1, 0, 330.0
220928, 근채류, 무, 여름무, 1, 0, 160.55556
220928, 과실류, 자두, 추희, 1, 0, 240.0
220928, 수실류, 대추, 대추, 1, 0, 700.0
220928, 과일과채류, 토마토, 기타토마토, 1, 0, 380.0
220928, 산채류, 마, 생장마, 1, 0, 388.0
220928, 과실류, 복숭아, 황도, 1, 0, 120.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1700.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 230.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 122.0
220928, 과채류, 호박, 애호박, 1, 0, 183.75
220928, 과채류, 오이, 가시오이, 1, 0, 237.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 170.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 666.6667
220928, 과일과채류, 토마토, 토마토, 1, 0, 300.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 400.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 360.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 125.0
220928, 과실류, 무화과, 무화과, 1, 0, 500.0
220928, 서류, 고구마, 밤고구마, 1, 0, 230.0
220928, 서류, 고구마, 밤고구마, 1, 0, 167.0
220928, 서류, 고구마, 기타, 1, 0, 145.0
220928, 양채류, 파프리카, 노랑파프리카, 1, 0, 23800.0
220928, 서류, 고구마, 밤고구마, 1, 0, 185.0
220928, 과실류, 사과, 홍옥, 1, 0, 150.0
220928, 버섯류, 새송이, 새송이, 1, 0, 212.5
220928, 과채류, 호박, 애호박, 1, 0, 87.5
220928, 과채류, 오이, 취청, 1, 0, 585.0
220928, 과실류, 바나나, 바나나, 0, 0, 126.92308
220928, 과실류, 바나나, 바나나, 0, 0, 246.15384
220928, 과실류, 바나나, 바나나, 0, 0, 246.15384
220928, 과실류, 사과, 홍로, 1, 0, 321.0
220928, 양채류, 피망(단고추), 기타피망, 1, 0, 282.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 470.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 625.0
220928, 과실류, 사과, 기타사과, 1, 0, 250.0
220928, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 614.5
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 222.4
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 222.4
220928, 버섯류, 표고버섯, 기타표고버섯, 1, 0, 775.0
220928, 수실류, 대추, 생대추, 1, 0, 850.0
220928, 엽경채류, 시금치, 시금치, 1, 0, 342.85715
220928, 과실류, 사과, 홍로, 1, 0, 155.0
220928, 과실류, 떫은감, 약시, 1, 0, 160.0
220928, 과채류, 가지, 가지, 1, 0, 222.5
220928, 엽경채류, 배추, 여름배추, 1, 0, 85.0
220928, 버섯류, 표고버섯, 기타표고버섯, 1, 0, 900.0
220928, 엽경채류, 배추, 여름배추, 1, 0, 85.0
220928, 버섯류, 느타리버섯, 기타느타리버섯, 1, 0, 275.0
220928, 과실류, 참다래(키위), 키위, 0, 0, 2500.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 310.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 207.5
220928, 과실류, 복숭아, 만생황도, 1, 0, 425.0
220928, 서류, 고구마, 호박고구마, 1, 0, 125.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 362.5
220928, 과실류, 포도, 샤인마스캇, 1, 0, 650.0
220928, 과일과채류, 메론, 네트계, 1, 0, 262.5
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 양채류, 비트(붉은사탕무우), 비트, 1, 0, 82.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 460.0
220928, 과실류, 복숭아, 황도, 1, 0, 100.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 650.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 320.0
220928, 과실류, 단감, 송본, 1, 0, 210.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과채류, 오이, 백다다기, 1, 0, 430.0
