20220919, 과실류, 포도, 샤인마스캇, 1, 1, 3500.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 3500.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 2000.0
20220919, 과채류, 오이, 가시오이, 1, 1, 820.0
20220919, 엽경채류, 비름, 참비름, 1, 0, 266.66666
20220919, 엽경채류, 비름, 참비름, 1, 0, 266.66666
20220919, 엽경채류, 비름, 참비름, 1, 0, 266.66666
20220919, 엽경채류, 비름, 참비름, 1, 0, 266.66666
20220919, 엽경채류, 비름, 참비름, 1, 0, 266.66666
20220919, 엽경채류, 비름, 참비름, 1, 0, 266.66666
20220919, 과채류, 호박, 애호박, 1, 0, 137.5
20220919, 엽경채류, 비름, 참비름, 1, 0, 266.66666
20220919, 과채류, 호박, 애호박, 1, 0, 137.5
20220919, 양채류, 로메인, 로메인, 1, 1, 1500.0
20220919, 과실류, 자두, 추희, 1, 0, 380.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 4500.0
20220919, 엽경채류, 상추, 기타상추, 1, 0, 630.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 800.0
20220919, 과실류, 단감, 기타단감, 1, 1, 800.0
20220919, 과일과채류, 토마토, 토마토, 1, 0, 100.0
20220919, 과실류, 단감, 송본, 1, 0, 380.0
20220919, 과실류, 단감, 송본, 1, 0, 380.0
20220919, 엽경채류, 양배추, 양배추, 1, 1, 640.0
20220919, 과채류, 호박, 애호박, 1, 0, 181.25
20220919, 조미채소류, 풋고추, 애기초, 1, 1, 1500.0
20220919, 근채류, 무, 고냉지무, 1, 1, 1350.0
20220919, 근채류, 무, 고냉지무, 1, 1, 1350.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 106.0
20220919, 버섯류, 표고버섯, 표고버섯, 0, 0, 600.0
20220919, 과채류, 호박, 애호박, 1, 0, 175.0
20220919, 과채류, 오이, 백다다기, 1, 1, 1500.0
20220919, 과실류, 자두, 추희, 1, 0, 500.0
20220919, 과실류, 단감, 기타단감, 1, 1, 800.0
20220919, 조미채소류, 풋고추, 청양, 1, 0, 205.0
20220919, 과일과채류, 방울토마토, 대추방울, 1, 1, 2000.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 1522.7273
20220919, 과실류, 단감, 기타단감, 1, 1, 1200.0
20220919, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
20220919, 과일과채류, 토마토, 토마토, 1, 0, 120.0
20220919, 과채류, 호박, 애호박, 1, 0, 168.75
20220919, 조미채소류, 대파, 대파, 1, 0, 140.0
20220919, 근채류, 무, 고냉지무, 1, 1, 1315.0
20220919, 근채류, 무, 고냉지무, 1, 1, 1315.0
20220919, 버섯류, 표고버섯, 표고버섯, 0, 0, 600.0
20220919, 엽경채류, 고추잎, 생고추잎, 1, 1, 2200.0
20220919, 과채류, 오이, 백다다기, 1, 1, 2300.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 10833.333
20220919, 과실류, 단감, 기타단감, 1, 1, 1500.0
20220919, 과실류, 단감, 송본, 1, 0, 130.0
20220919, 엽경채류, 양배추, 양배추, 1, 1, 760.0
20220919, 과일과채류, 토마토, 토마토, 1, 0, 170.0
20220919, 과채류, 오이, 백다다기, 1, 1, 1600.0
20220919, 과실류, 포도, 샤인마스캇, 1, 0, 650.0
20220919, 과채류, 호박, 애호박, 1, 0, 293.75
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 0, 650.0
20220919, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 125.0
20220919, 조미채소류, 풋고추, 청양, 1, 0, 210.0
20220919, 과일과채류, 방울토마토, 대추방울, 1, 1, 2166.6667
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 7500.0
20220919, 조미채소류, 대파, 대파, 1, 0, 182.5
20220919, 조미채소류, 실파, 실파, 1, 0, 800.0
20220919, 과실류, 포도, 샤인마스캇, 1, 0, 700.0
20220919, 과실류, 복숭아, 장호원황도, 1, 0, 100.0
20220919, 조미채소류, 대파, 대파, 1, 0, 140.0
20220919, 조미채소류, 쪽파, 쪽파, 1, 0, 330.0
20220919, 조미채소류, 쪽파, 쪽파, 1, 0, 312.0
20220919, 과실류, 단감, 송본, 1, 0, 130.0
20220919, 조미채소류, 실파, 실파, 1, 0, 800.0
20220919, 조미채소류, 실파, 실파, 1, 0, 800.0
20220919, 조미채소류, 실파, 실파, 1, 0, 800.0
20220919, 조미채소류, 실파, 실파, 1, 0, 800.0
20220919, 조미채소류, 실파, 실파, 1, 0, 800.0
20220919, 조미채소류, 실파, 실파, 1, 0, 800.0
20220919, 버섯류, 표고버섯, 표고버섯, 0, 0, 575.0
20220919, 과일과채류, 토마토, 토마토, 1, 0, 200.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 0, 650.0
20220919, 과실류, 복숭아, 환타지아, 1, 0, 50.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 1930.7693
20220919, 과실류, 복숭아, 기타복숭아, 1, 0, 100.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 70.0
20220919, 과채류, 호박, 애호박, 1, 0, 231.25
20220919, 과채류, 호박, 애호박, 1, 0, 231.25
20220919, 조미채소류, 대파, 대파, 1, 0, 173.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 6000.0
20220919, 과실류, 복숭아, 환타지아, 1, 0, 150.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 0, 600.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 6950.0
20220919, 엽경채류, 양배추, 양배추, 1, 1, 740.0
20220919, 과실류, 복숭아, 기타복숭아, 1, 0, 200.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 7933.3335
20220919, 조미채소류, 풋고추, 오이맛고추, 1, 0, 205.0
20220919, 과일과채류, 방울토마토, 대추방울, 1, 1, 2666.6667
20220919, 과실류, 복숭아, 환타지아, 1, 0, 160.0
20220919, 과일과채류, 토마토, 토마토, 1, 0, 160.0
20220919, 조미채소류, 대파, 대파, 1, 0, 125.0
20220919, 과실류, 단감, 상서, 1, 0, 140.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 7000.0
20220919, 과채류, 호박, 애호박, 1, 0, 175.0
20220919, 과실류, 복숭아, 환타지아, 1, 0, 180.0
20220919, 과실류, 복숭아, 기타복숭아, 1, 0, 325.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 110.0
20220919, 과실류, 단감, 이두, 1, 1, 900.0
20220919, 과실류, 복숭아, 환타지아, 1, 0, 180.0
20220919, 과실류, 복숭아, 기타복숭아, 1, 0, 325.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 110.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 85.0
20220919, 엽경채류, 양배추, 양배추, 1, 1, 730.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 7000.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 266.66666
20220919, 조미채소류, 대파, 대파, 1, 0, 173.0
20220919, 과실류, 복숭아, 환타지아, 1, 0, 200.0
20220919, 과실류, 복숭아, 기타복숭아, 1, 0, 375.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 8600.0
20220919, 조미채소류, 풋고추, 청양, 1, 0, 150.0
20220919, 과일과채류, 방울토마토, 대추방울, 1, 1, 3333.3333
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 8500.0
20220919, 과실류, 복숭아, 환타지아, 1, 0, 200.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 0, 500.0
20220919, 과채류, 호박, 애호박, 1, 0, 187.5
20220919, 과실류, 단감, 상서, 1, 0, 180.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 300.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 300.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 0, 500.0
20220919, 과실류, 단감, 이두, 1, 1, 1300.0
20220919, 과실류, 복숭아, 기타복숭아, 1, 0, 375.0
20220919, 과실류, 복숭아, 환타지아, 1, 0, 180.0
20220919, 엽경채류, 양배추, 양배추, 1, 1, 710.0
20220919, 근채류, 무, 고냉지무, 1, 1, 1350.0
20220919, 과채류, 오이, 백다다기, 1, 1, 1350.0
20220919, 조미채소류, 풋고추, 청양, 1, 0, 220.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 16.0
20220919, 과실류, 단감, 이두, 1, 1, 1500.0
20220919, 과실류, 단감, 상서, 1, 0, 280.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 0, 500.0
20220919, 과채류, 호박, 애호박, 1, 0, 275.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 16.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 350.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 9233.333
20220919, 엽경채류, 열무, 열무, 1, 0, 85.0
20220919, 과실류, 복숭아, 환타지아, 1, 0, 190.0
20220919, 과실류, 복숭아, 기타복숭아, 1, 0, 375.0
20220919, 과실류, 복숭아, 기타복숭아, 1, 0, 375.0
20220919, 엽경채류, 열무, 열무, 1, 0, 85.0
20220919, 엽경채류, 상추, 기타상추, 1, 1, 1800.0
20220919, 과실류, 단감, 송본, 1, 1, 1100.0
20220919, 과일과채류, 토마토, 토마토, 1, 0, 120.0
20220919, 과실류, 단감, 상서, 1, 0, 350.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 0, 500.0
20220919, 엽경채류, 열무, 열무, 1, 0, 85.0
20220919, 근채류, 무, 고냉지무, 1, 1, 1340.0
20220919, 근채류, 무, 고냉지무, 1, 1, 1340.0
20220919, 과실류, 복숭아, 환타지아, 1, 0, 220.0
