20220919, 조미채소류, 풋고추, 오이맛고추, 1, 1, 1800.0
20220919, 과채류, 가지, 가지, 1, 1, 2400.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 320.0
20220919, 조미채소류, 풋고추, 오이맛고추, 1, 1, 2354.5454
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 586.6667
20220919, 조미채소류, 풋고추, 오이맛고추, 1, 1, 1000.0
20220919, 과채류, 오이, 백다다기, 1, 1, 1200.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 287.5
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5525.0
20220919, 조미채소류, 풋고추, 오이맛고추, 1, 1, 1930.0
20220919, 과채류, 오이, 백다다기, 1, 1, 2100.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 312.5
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 3125.0
20220919, 조미채소류, 풋고추, 오이맛고추, 1, 1, 1600.0
20220919, 조미채소류, 풋고추, 청양, 1, 1, 2920.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 217.5
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5975.0
20220919, 엽경채류, 미나리, 미나리, 1, 1, 1937.5
20220919, 과채류, 호박, 애호박, 1, 1, 375.0
20220919, 조미채소류, 풋고추, 오이맛고추, 1, 1, 2000.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5975.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 320.0
20220919, 엽경채류, 미나리, 미나리, 1, 1, 1937.5
20220919, 조미채소류, 풋고추, 오이맛고추, 1, 1, 1660.0
20220919, 과채류, 호박, 애호박, 1, 1, 1125.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 3650.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 526.6667
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5900.0
20220919, 과채류, 호박, 애호박, 1, 1, 1750.0
20220919, 조미채소류, 풋고추, 오이맛고추, 1, 1, 1880.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 395.0
20220919, 엽경채류, 미나리, 미나리, 1, 1, 4020.0
20220919, 과채류, 호박, 애호박, 1, 1, 1750.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5250.0
20220919, 엽경채류, 미나리, 미나리, 1, 1, 4187.5
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 332.5
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 2550.0
20220919, 엽경채류, 미나리, 미나리, 1, 1, 4125.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 740.0
20220919, 조미채소류, 풋고추, 오이맛고추, 1, 1, 1430.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5750.0
20220919, 조미채소류, 풋고추, 청양, 1, 1, 3020.0
20220919, 엽경채류, 미나리, 미나리, 1, 1, 3400.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5975.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 312.5
20220919, 조미채소류, 풋고추, 청양, 1, 1, 4900.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5700.0
20220919, 과채류, 오이, 백다다기, 1, 1, 2080.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 6000.0
20220919, 조미채소류, 풋고추, 청양, 1, 1, 2900.0
20220919, 엽경채류, 미나리, 미나리, 1, 1, 3625.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 487.5
20220919, 조미채소류, 풋고추, 청양, 1, 1, 4880.0
20220919, 과채류, 오이, 백다다기, 1, 1, 2733.3333
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 3200.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 467.5
20220919, 조미채소류, 풋고추, 청양, 1, 1, 3000.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 3250.0
20220919, 조미채소류, 풋고추, 청양, 1, 1, 4550.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 666.6667
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 3125.0
20220919, 과채류, 오이, 백다다기, 1, 1, 1260.0
20220919, 조미채소류, 풋고추, 청양, 1, 1, 2920.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 3400.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 706.6667
20220919, 조미채소류, 풋고추, 청양, 1, 1, 4440.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 357.5
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 2950.0
20220919, 엽경채류, 미나리, 돌미나리, 1, 1, 3700.0
20220919, 과채류, 오이, 백다다기, 1, 1, 2133.3333
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 633.3333
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5350.0
20220919, 엽경채류, 미나리, 돌미나리, 1, 1, 3625.0
20220919, 조미채소류, 풋고추, 오이맛고추, 1, 1, 690.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 312.5
20220919, 과채류, 오이, 백다다기, 1, 1, 3066.6667
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5500.0
20220919, 조미채소류, 풋고추, 오이맛고추, 1, 1, 1450.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 646.6667
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 4000.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 300.0
20220919, 조미채소류, 풋고추, 청양, 1, 1, 1450.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 3050.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5325.0
20220919, 조미채소류, 풋고추, 청양, 1, 1, 3300.0
20220919, 엽경채류, 미나리, 돌미나리, 1, 1, 4325.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 325.0
20220919, 엽경채류, 미나리, 돌미나리, 1, 1, 4275.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 673.3333
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 4425.0
20220919, 조미채소류, 풋고추, 오이맛고추, 1, 1, 1400.0
20220919, 엽경채류, 미나리, 돌미나리, 1, 1, 4250.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 3050.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 300.0
20220919, 조미채소류, 풋고추, 오이맛고추, 1, 1, 2200.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 5750.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 686.6667
20220919, 조미채소류, 홍고추, 홍청양, 1, 1, 2500.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 1, 3250.0
20220919, 엽경채류, 깻잎, 깻잎순, 1, 0, 372.5
