220928, 과실류, 포도, 샤인마스캇, 1, 0, 450.0
220928, 수실류, 떫은감, 약시, 1, 0, 190.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 500.0
220928, 과실류, 참다래(키위), 키위, 0, 0, 410.0
220928, 과실류, 떫은감, 약시, 1, 0, 300.0
220928, 과실류, 복숭아, 황도, 1, 0, 400.0
220928, 과실류, 배, 신고, 1, 0, 104.0
220928, 수실류, 떫은감, 반시, 1, 0, 220.0
220928, 수실류, 떫은감, 약시, 1, 0, 200.0
220928, 서류, 고구마, 기타, 1, 0, 181.0
220928, 과실류, 사과, 홍로, 1, 0, 180.0
220928, 서류, 감자, 기타감자, 1, 0, 200.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 675.0
220928, 조미채소류, 마늘, 기타마늘, 1, 0, 150.0
220928, 과실류, 단감, 조추, 1, 0, 170.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 350.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 625.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 280.0
220928, 수실류, 대추, 대추, 1, 0, 950.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1075.0
220928, 과실류, 포도, 거봉, 1, 0, 430.0
220928, 과채류, 호박, 늙은호박, 1, 0, 35.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 13500.0
220928, 과실류, 사과, 홍로, 1, 0, 180.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 950.0
220928, 과채류, 가지, 가지, 1, 0, 169.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 360.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 166.66667
220928, 과실류, 단감, 부유, 1, 0, 250.0
220928, 과채류, 오이, 백다다기, 1, 0, 260.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 650.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 500.0
220928, 과실류, 자두, 추희, 1, 0, 480.0
220928, 과실류, 단감, 기타단감, 1, 0, 300.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 310.0
220928, 과실류, 자두, 추희, 1, 0, 200.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 316.66666
220928, 과실류, 포도, 샤인마스캇, 1, 0, 425.0
220928, 잡곡류, 옥수수, 찰옥수수, 1, 0, 234.54546
220928, 과실류, 포도, 기타포도, 1, 0, 1000.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 265.48672
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 225.0
220928, 과실류, 떫은감, 반시, 1, 0, 220.0
220928, 과실류, 복숭아, 황도, 1, 0, 150.0
220928, 과실류, 사과, 기타사과, 1, 0, 173.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 283.33334
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 733.3333
220928, 조미채소류, 풋고추, 청양, 1, 0, 380.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 525.0
220928, 서류, 고구마, 밤고구마, 1, 0, 130.0
220928, 과채류, 호박, 애호박, 1, 0, 231.25
220928, 서류, 고구마, 기타, 1, 0, 200.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 300.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 116.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 737.5
220928, 서류, 감자, 기타감자, 1, 0, 115.0
220928, 과실류, 단감, 부유, 1, 0, 400.0
220928, 근채류, 토란, 토란, 1, 0, 160.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 187.77777
220928, 과실류, 사과, 시나노레드, 1, 0, 110.0
220928, 서류, 고구마, 기타, 1, 0, 100.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 380.0
220928, 과실류, 포도, 거봉, 1, 0, 300.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 436.0
220928, 서류, 고구마, 기타, 1, 0, 220.0
220928, 과채류, 오이, 노각, 1, 0, 30.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 333.33334
220928, 과실류, 감귤, 하우스감귤, 1, 0, 433.33334
220928, 과실류, 포도, 캠벨얼리, 1, 0, 300.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 1000.0
220928, 과채류, 오이, 노각, 1, 0, 30.0
220928, 과실류, 포도, 기타포도, 1, 0, 475.0
220928, 과실류, 단감, 상서, 1, 0, 235.0
220928, 엽경채류, 콩나물, 콩나물, 0, 0, 80.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 1000.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 152.5
220928, 과실류, 사과, 홍로, 1, 0, 263.0
